molecule,atom,nombre,Hyd,Mol,Pol,Gas,Ab-R2,Ab-pi2H,Ab-sumA2H,Ab-sumB2H,Ab-sumB20,total
CHEMBL5271361,9,Cl,-0.16036198311528396,-0.008188244822870342,-0.02091701078985997,-0.4379071300305133,1.7670930721509932,-1.7235636263280556,-0.018697673011908267,0.42900395493714033,0.13200939496637945,0.25411651641302624
CHEMBL5271361,10,C,0.02866092228462732,-0.00043247870220479353,-0.011245743288522403,-1.3150893327789879,5.133418011442882,-5.0072594306140115,0.004223634948463626,1.235037791864257,0.08580610672814665,0.44876524434165505
CHEMBL5271361,11,C,0.16136099966853076,-0.002719621953616814,-0.04298485292322629,-1.533679738029087,5.420218206629526,-5.683063527658382,0.0,1.2249360209070068,0.08580610672814665,-0.07448064417409656
CHEMBL5271361,12,O,0.04823306509590996,-8.155349726290976e-05,-0.007510355943506365,-0.32608640682744405,1.1633550293683013,-1.5207326125517768,0.0,0.38892028290936104,-0.6026736608657401,-0.5609304498551533
CHEMBL5271361,13,O,0.06222237292310455,-0.0001538538267546592,-0.021290570173787056,-1.4965160199389071,4.981616323746687,-4.967434269833139,0.0,1.3066703372207955,-0.5843954369473183,-0.42363535437231414
CHEMBL5271361,14,C,0.09559691487056766,-9.884119411279662e-05,-0.047426756420820046,-2.6196877739638413,9.853135221701189,-9.130569923541515,0.0,2.1133823020021953,-0.0406182753742706,0.5193586305363974
CHEMBL5271361,15,C,-0.007073445104025989,-1.983645386902974e-05,-0.01057150470937123,-0.5018796117751543,1.9304863583639689,-1.7734543952338098,0.0,0.3993509864832448,0.0,0.33248431402798817
CHEMBL5271361,16,C,-0.018667040189153383,-0.00011674474203466121,-0.07657766232652669,-3.769253275810268,14.588089081481897,-13.550175834165573,0.0,3.0954511051753895,-0.09545294712953592,0.4689424447511993
CHEMBL5271361,17,C,-0.023924721260695704,-2.4092789570119656e-05,-0.015871087083589856,-0.7314592072646435,2.855479611184429,-2.6860741535456802,0.0,0.6027833241214139,0.0,0.29655543581866783
CHEMBL5271361,18,C,-0.023924721260695704,-2.4092789570119656e-05,-0.01587108708358985,-0.7314592072646435,2.8554796111844287,-2.6860741535456802,0.0,0.6027833241214139,0.0,0.29655543581866783
